total_consumption;date;hour
2.003;1.03.2022;1
2.224;1.03.2022;2
1.918;1.03.2022;3
2.076;1.03.2022;4
2.793;1.03.2022;5
2.136;1.03.2022;6
4.069;1.03.2022;7
3.26;1.03.2022;8
2.909;1.03.2022;9
3.205;1.03.2022;10
3.85;1.03.2022;11
3.716;1.03.2022;12
2.648;1.03.2022;13
4.076;1.03.2022;14
4.762;1.03.2022;15
6.509;1.03.2022;16
6.367;1.03.2022;17
4.964;1.03.2022;18
5.39;1.03.2022;19
5.877;1.03.2022;20
6.004;1.03.2022;21
3.22;1.03.2022;22
2.606;1.03.2022;23
2.26;1.03.2022;24
88.842;1.03.2022;Kokku
3.065;2.03.2022;1
1.869;2.03.2022;2
2.114;2.03.2022;3
2.082;2.03.2022;4
1.962;2.03.2022;5
2.7;2.03.2022;6
4.68;2.03.2022;7
4.614;2.03.2022;8
5.586;2.03.2022;9
3.749;2.03.2022;10
3.849;2.03.2022;11
3.05;2.03.2022;12
3.318;2.03.2022;13
3.542;2.03.2022;14
3.683;2.03.2022;15
4.978;2.03.2022;16
6.162;2.03.2022;17
5.373;2.03.2022;18
4.804;2.03.2022;19
3.861;2.03.2022;20
2.839;2.03.2022;21
2.832;2.03.2022;22
3.315;2.03.2022;23
1.877;2.03.2022;24
85.904;2.03.2022;Kokku
2.201;3.03.2022;1
2.16;3.03.2022;2
1.933;3.03.2022;3
2.335;3.03.2022;4
2.332;3.03.2022;5
3.534;3.03.2022;6
3.103;3.03.2022;7
2.991;3.03.2022;8
3.202;3.03.2022;9
2.132;3.03.2022;10
2.161;3.03.2022;11
2.132;3.03.2022;12
2.175;3.03.2022;13
4.56;3.03.2022;14
6.135;3.03.2022;15
3.722;3.03.2022;16
5.729;3.03.2022;17
4.25;3.03.2022;18
5.417;3.03.2022;19
5.116;3.03.2022;20
4.758;3.03.2022;21
3.749;3.03.2022;22
3.521;3.03.2022;23
2.52;3.03.2022;24
81.868;3.03.2022;Kokku
2.716;4.03.2022;1
2.165;4.03.2022;2
2.127;4.03.2022;3
2.309;4.03.2022;4
2.137;4.03.2022;5
2.415;4.03.2022;6
4.064;4.03.2022;7
3.34;4.03.2022;8
3.344;4.03.2022;9
3.153;4.03.2022;10
2.817;4.03.2022;11
2.849;4.03.2022;12
2.626;4.03.2022;13
3.343;4.03.2022;14
3.225;4.03.2022;15
3.925;4.03.2022;16
3.966;4.03.2022;17
4.87;4.03.2022;18
3.269;4.03.2022;19
2.788;4.03.2022;20
3.135;4.03.2022;21
2.484;4.03.2022;22
2.727;4.03.2022;23
3.171;4.03.2022;24
72.965;4.03.2022;Kokku
3.569;5.03.2022;1
2.25;5.03.2022;2
2.014;5.03.2022;3
2.065;5.03.2022;4
2.335;5.03.2022;5
2.144;5.03.2022;6
2.373;5.03.2022;7
2.646;5.03.2022;8
3.134;5.03.2022;9
5.512;5.03.2022;10
